Device,video_name,frame_number,total_patches,sector1_correct,sector2_correct,sector3_correct,sector4_correct,blur,std,correct,prnu_std
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,0_,3,0,0,1,0,74.9718644080187,54.80489670336861,,1.6010935
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,10_,2,2,2,0,1,74.9718644080187,54.80489670336861,,1.6010935
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,11_,3,1,0,0,0,38.06074089632434,40.6760922726128,,0.931922
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,12_,2,0,0,0,0,24.170687649282765,53.72356530527457,,0.8701056
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,13_,2,0,1,0,0,90.33140962543294,43.2941115727397,,1.1
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,14_,3,1,1,1,1,62.04289251276588,36.33069758313464,,0.70702004
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,1_,3,2,1,1,1,21.774149817549763,56.6471146281533,,0.84786385
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,2_,3,2,1,0,0,24.170687649282765,53.72356530527457,,0.8701056
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,3_,2,1,1,0,2,21.774149817549763,56.6471146281533,,0.84786385
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,4_,3,2,0,0,0,62.04289251276588,36.33069758313464,,0.70702004
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,5_,3,1,0,0,0,21.774149817549763,56.6471146281533,,0.84786385
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,6_,3,1,2,0,2,231.70516823901673,24.546786681962196,,2.5267816
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,7_,3,3,1,0,3,51.50701753472005,55.42625104303362,,1.1993761
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,8_,2,0,1,1,2,33.118752177761934,34.25504528788249,,0.8340422
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_panrot_0001_,9_,3,2,2,0,1,26.56797604857317,60.997494035526536,,0.882936
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,0_,15,0,10,1,2,59.557915699740846,47.6911771525116,,1.4957372
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,10_,15,4,9,3,4,6.885244886911651,42.21590949610804,,0.66359043
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,11_,15,5,5,2,0,39.674095783611236,36.732775058650695,,1.3214381
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,12_,15,2,0,3,2,11.304298801095015,32.36211294961164,,0.7261508
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,13_,15,4,2,5,0,19.936200325743872,40.743532503358864,,1.0268792
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,14_,15,4,10,5,7,9.175265721227122,38.50529990528775,,0.67728645
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,1_,15,6,4,3,0,45.434594425102006,32.87301009120022,,1.4036502
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,2_,15,2,9,5,2,45.434594425102006,32.87301009120022,,1.4036502
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,3_,15,9,3,2,0,45.434594425102006,32.87301009120022,,1.4036502
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,4_,15,7,10,3,0,45.55288770553713,43.63765700792792,,1.2411433
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,5_,15,2,1,10,8,29.93053790549237,41.816119539291755,,1.1574904
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,6_,15,0,4,2,0,10.938512731447997,47.883238376046464,,0.7324608
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,7_,15,6,6,8,9,16.048185139778365,42.35431328580617,,0.93572193
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,8_,15,2,4,5,0,25.48408152584337,32.85485113097509,,1.2056093
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_move_0001_,9_,15,5,2,1,0,14.239802583668814,50.78800233050715,,0.95329237
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_panrot_0001_,0_,15,9,11,2,1,58.25255776906373,35.8567030545902,,1.3420887
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_panrot_0001_,10_,15,5,6,2,0,8.396945271061028,55.42511556227536,,0.62957764
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_panrot_0001_,11_,15,1,9,0,4,114.0325823015683,37.81181016273631,,2.0090427
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_panrot_0001_,12_,15,0,2,0,5,77.94324261345675,29.02221329149342,,1.8891991
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_panrot_0001_,13_,15,3,1,5,5,143.5482995490477,34.255083161473266,,2.2555072
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_panrot_0001_,14_,15,1,1,6,1,13.925594615683128,43.18239542723008,,0.61189735
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_panrot_0001_,1_,15,3,5,0,1,10.753911552772474,47.02069427994917,,0.7126984
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_panrot_0001_,2_,15,7,7,3,7,5.865156249976741,44.45089189674175,,0.48498824
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_panrot_0001_,3_,15,9,4,7,7,10.753911552772474,47.02069427994917,,0.7126984
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_panrot_0001_,4_,15,6,5,0,7,10.753911552772474,47.02069427994917,,0.7126984
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_panrot_0001_,5_,15,11,2,2,7,11.146274704751852,33.547804492577754,,0.5327256
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_panrot_0001_,6_,15,7,7,2,4,3.758092199586097,37.16392325731536,,0.53550124
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_panrot_0001_,7_,15,2,3,0,3,2.627304595486545,63.50251011792974,,0.39117843
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_panrot_0001_,8_,15,6,6,1,1,18.883807373928537,58.26118168976118,,0.8214077
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorYT_panrot_0001_,9_,15,4,0,7,0,6.678557535377272,40.091361624841255,,0.5786749
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoor_move_0001_,0_,15,6,1,1,1,49.40712859322832,45.746626342079985,,1.3784733
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoor_move_0001_,10_,15,3,7,6,11,29.432180232797407,38.118445820386384,,1.0183064
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoor_move_0001_,11_,15,3,6,1,0,38.15562346698567,44.041384024050814,,1.2057449
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoor_move_0001_,12_,15,8,7,3,0,27.638662106002766,38.059309747797215,,1.1564595
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoor_move_0001_,13_,15,2,5,8,10,60.25904899345204,41.945308314347045,,1.4721166
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoor_move_0001_,14_,15,5,4,2,0,36.05700279460059,44.262686118367064,,1.2240428
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoor_move_0001_,1_,15,4,3,2,1,60.25904899345204,41.945308314347045,,1.4721166
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoor_move_0001_,2_,15,2,9,5,2,60.193795926435,33.62580617474747,,1.4746722
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoor_move_0001_,3_,15,7,2,3,0,60.25904899345204,41.945308314347045,,1.4721166
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoor_move_0001_,4_,15,1,10,9,3,102.40602742929761,36.544366676829846,,1.7219361
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoor_move_0001_,5_,15,0,2,5,6,28.166249031064787,40.601302639108106,,1.1872939
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoor_move_0001_,6_,15,7,9,2,1,31.312109121212217,40.67167972779887,,1.12212
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoor_move_0001_,7_,15,5,3,4,1,32.24630303596087,41.67723607262647,,1.2476441
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoor_move_0001_,8_,15,7,4,3,2,16.204511958863478,45.93795297335601,,0.8627866
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoor_move_0001_,9_,15,7,7,2,9,13.084923297495674,45.00822462270411,,0.7315937
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoor_panrot_0001_,0_,15,2,2,5,1,15.579139654085179,46.52746761912604,,0.79698485
